Original_query,query_id,@n,precision_dense_can&should,recall_dense_can&should,f1_dense_can&should,precision_sparse_can&should,recall_sparse_can&should,f1_sparse_can&should,precision_combined_can&should,recall_combined_can&should,f1_combined_can&should,precision_dense_should_only,recall_dense_should_only,f1_dense_should_only,precision_sparse_should_only,recall_sparse_should_only,f1_sparse_should_only,precision_combined_should_only,recall_combined_should_only,f1_combined_should_only
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including infrastructure upgrades, energy efficiency, and data protection.",10,0.6,0.09,0.15,0.6,0.09,0.15,0.7,0.1,0.18,0.5,0.18,0.26,0.5,0.18,0.26,0.5,0.18,0.26
What are the risks of retrofitting an older data center?,"Rephrased Query:  
""Risks and challenges of data center retrofitting, including potential issues in upgrading older facilities.""",10,0.8,0.11,0.2,0.4,0.06,0.1,0.7,0.1,0.18,0.5,0.18,0.26,0.4,0.14,0.21,0.6,0.21,0.32
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including potential impacts on infrastructure, power management, cooling systems, and operational efficiency.",10,0.8,0.11,0.2,0.6,0.09,0.15,0.7,0.1,0.18,0.6,0.21,0.32,0.5,0.18,0.26,0.6,0.21,0.32
What are the risks of retrofitting an older data center?,"Risks associated with retrofitting older data centers, including structural issues, cost overruns, energy efficiency challenges, and outdated technology compatibility.",10,0.7,0.1,0.18,0.2,0.03,0.05,0.6,0.09,0.15,0.5,0.18,0.26,0.2,0.07,0.11,0.6,0.21,0.32
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including infrastructure upgrades, energy efficiency, and data protection.",15,0.6,0.13,0.21,0.53,0.11,0.19,0.6,0.13,0.21,0.4,0.21,0.28,0.4,0.21,0.28,0.47,0.25,0.33
What are the risks of retrofitting an older data center?,"Rephrased Query:  
""Risks and challenges of data center retrofitting, including potential issues in upgrading older facilities.""",15,0.73,0.16,0.26,0.27,0.06,0.09,0.73,0.16,0.26,0.47,0.25,0.33,0.27,0.14,0.19,0.53,0.29,0.37
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including potential impacts on infrastructure, power management, cooling systems, and operational efficiency.",15,0.67,0.14,0.24,0.4,0.09,0.14,0.53,0.11,0.19,0.4,0.21,0.28,0.33,0.18,0.23,0.47,0.25,0.33
What are the risks of retrofitting an older data center?,"Risks associated with retrofitting older data centers, including structural issues, cost overruns, energy efficiency challenges, and outdated technology compatibility.",15,0.67,0.14,0.24,0.33,0.07,0.12,0.53,0.11,0.19,0.4,0.21,0.28,0.33,0.18,0.23,0.4,0.21,0.28
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including infrastructure upgrades, energy efficiency, and data protection.",20,0.5,0.14,0.22,0.6,0.17,0.27,0.6,0.17,0.27,0.35,0.25,0.29,0.4,0.29,0.33,0.45,0.32,0.38
What are the risks of retrofitting an older data center?,"Rephrased Query:  
""Risks and challenges of data center retrofitting, including potential issues in upgrading older facilities.""",20,0.75,0.21,0.33,0.35,0.1,0.16,0.55,0.16,0.24,0.45,0.32,0.38,0.35,0.25,0.29,0.4,0.29,0.33
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including potential impacts on infrastructure, power management, cooling systems, and operational efficiency.",20,0.65,0.19,0.29,0.35,0.1,0.16,0.55,0.16,0.24,0.35,0.25,0.29,0.3,0.21,0.25,0.4,0.29,0.33
What are the risks of retrofitting an older data center?,"Risks associated with retrofitting older data centers, including structural issues, cost overruns, energy efficiency challenges, and outdated technology compatibility.",20,0.65,0.19,0.29,0.25,0.07,0.11,0.4,0.11,0.18,0.4,0.29,0.33,0.25,0.18,0.21,0.3,0.21,0.25
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including infrastructure upgrades, energy efficiency, and data protection.",25,0.52,0.19,0.27,0.52,0.19,0.27,0.48,0.17,0.25,0.28,0.25,0.26,0.36,0.32,0.34,0.36,0.32,0.34
What are the risks of retrofitting an older data center?,"Rephrased Query:  
""Risks and challenges of data center retrofitting, including potential issues in upgrading older facilities.""",25,0.68,0.24,0.36,0.32,0.11,0.17,0.48,0.17,0.25,0.4,0.36,0.38,0.28,0.25,0.26,0.32,0.29,0.3
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including potential impacts on infrastructure, power management, cooling systems, and operational efficiency.",25,0.68,0.24,0.36,0.36,0.13,0.19,0.44,0.16,0.23,0.36,0.32,0.34,0.32,0.29,0.3,0.32,0.29,0.3
What are the risks of retrofitting an older data center?,"Risks associated with retrofitting older data centers, including structural issues, cost overruns, energy efficiency challenges, and outdated technology compatibility.",25,0.72,0.26,0.38,0.2,0.07,0.11,0.48,0.17,0.25,0.44,0.39,0.42,0.2,0.18,0.19,0.32,0.29,0.3
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including infrastructure upgrades, energy efficiency, and data protection.",30,0.57,0.24,0.34,0.5,0.21,0.3,0.5,0.21,0.3,0.27,0.29,0.28,0.37,0.39,0.38,0.33,0.36,0.34
What are the risks of retrofitting an older data center?,"Rephrased Query:  
""Risks and challenges of data center retrofitting, including potential issues in upgrading older facilities.""",30,0.67,0.29,0.4,0.33,0.14,0.2,0.47,0.2,0.28,0.37,0.39,0.38,0.27,0.29,0.28,0.33,0.36,0.34
What are the risks of retrofitting an older data center?,"Risks and challenges of retrofitting older data centers, including potential impacts on infrastructure, power management, cooling systems, and operational efficiency.",30,0.57,0.24,0.34,0.43,0.19,0.26,0.43,0.19,0.26,0.3,0.32,0.31,0.37,0.39,0.38,0.3,0.32,0.31
What are the risks of retrofitting an older data center?,"Risks associated with retrofitting older data centers, including structural issues, cost overruns, energy efficiency challenges, and outdated technology compatibility.",30,0.7,0.3,0.42,0.23,0.1,0.14,0.43,0.19,0.26,0.4,0.43,0.41,0.17,0.18,0.17,0.27,0.29,0.28
